Date,ivol
19/09/2008,26.8605
22/09/2008,28.6673
23/09/2008,29.5379
24/09/2008,30.3492
25/09/2008,28.7227
26/09/2008,29.9598
29/09/2008,38.7803
30/09/2008,33.2448
01/10/2008,34.1426
02/10/2008,38.1037
03/10/2008,37.2169
06/10/2008,42.6542
07/10/2008,43.1036
08/10/2008,45.5865
09/10/2008,50.6274
10/10/2008,57.7074
13/10/2008,45.1759
14/10/2008,44.7491
15/10/2008,52.6824
16/10/2008,51.5531
17/10/2008,53.585
20/10/2008,43.3684
21/10/2008,44.218
22/10/2008,53.2041
23/10/2008,52.7677
24/10/2008,60.1995
27/10/2008,61.2953
28/10/2008,51.732
29/10/2008,55.0461
30/10/2008,51.0671
31/10/2008,49.3095
03/11/2008,46.1543
04/11/2008,40.0687
05/11/2008,44.8613
06/11/2008,52.0174
07/11/2008,47.4791
10/11/2008,48.9488
11/11/2008,50.7121
12/11/2008,55.2563
13/11/2008,49.1651
14/11/2008,55.2115
17/11/2008,58.5575
18/11/2008,57.6212
19/11/2008,63.3177
20/11/2008,68.1718
21/11/2008,62.034
24/11/2008,54.7349
25/11/2008,54.2082
26/11/2008,49.1716
28/11/2008,49.2345
01/12/2008,56.5709
02/12/2008,55.7055
03/12/2008,54.6988
04/12/2008,57.0187
05/12/2008,53.6008
08/12/2008,50.746
09/12/2008,52.461
10/12/2008,50.9003
11/12/2008,50.284
12/12/2008,49.9285
15/12/2008,51.9028
16/12/2008,47.0322
17/12/2008,46.1944
18/12/2008,44.478
19/12/2008,40.8995
22/12/2008,41.1483
23/12/2008,40.8542
24/12/2008,40.9865
26/12/2008,39.9574
29/12/2008,40.3964
30/12/2008,38.2114
31/12/2008,36.2909
02/01/2009,34.3551
05/01/2009,34.9752
06/01/2009,34.3036
07/01/2009,38.3177
08/01/2009,38.0233
09/01/2009,38.657
12/01/2009,41.9081
13/01/2009,40.8251
14/01/2009,44.2271
15/01/2009,43.9397
16/01/2009,41.9966
20/01/2009,49.1451
21/01/2009,43.6871
22/01/2009,43.4006
23/01/2009,42.36
26/01/2009,40.3451
27/01/2009,38.1783
28/01/2009,35.9947
29/01/2009,37.49
30/01/2009,39.6587
02/02/2009,39.0118
03/02/2009,36.5064
04/02/2009,37.1039
05/02/2009,36.7904
06/02/2009,36.6766
09/02/2009,36.6895
10/02/2009,40.1779
11/02/2009,38.2599
12/02/2009,38.4752
13/02/2009,36.2923
17/02/2009,40.1186
18/02/2009,40.4682
19/02/2009,40.0218
20/02/2009,41.2902
23/02/2009,44.7064
24/02/2009,39.3951
25/02/2009,38.7776
26/02/2009,40.2372
27/02/2009,40.2028
02/03/2009,45.2823
03/03/2009,43.2104
04/03/2009,38.9555
05/03/2009,43.2259
06/03/2009,44.4828
09/03/2009,43.0792
10/03/2009,38.8573
11/03/2009,38.7805
12/03/2009,37.224
13/03/2009,37.9703
16/03/2009,38.4761
17/03/2009,37.1061
18/03/2009,36.4945
19/03/2009,39.0698
20/03/2009,41.3272
23/03/2009,37.4582
24/03/2009,38.3252
25/03/2009,38.951
26/03/2009,36.7593
27/03/2009,37.8599
30/03/2009,41.3206
31/03/2009,39.4689
01/04/2009,39.3875
02/04/2009,38.6913
03/04/2009,37.956
06/04/2009,38.4626
07/04/2009,38.5756
08/04/2009,37.2625
09/04/2009,35.9381
13/04/2009,35.7378
14/04/2009,35.776
15/04/2009,35.5385
16/04/2009,33.5749
17/04/2009,32.3707
20/04/2009,35.9384
21/04/2009,34.1665
22/04/2009,33.9047
23/04/2009,34.5704
24/04/2009,33.7559
27/04/2009,34.9815
28/04/2009,34.2477
29/04/2009,32.8915
30/04/2009,33.0536
01/05/2009,32.749
04/05/2009,31.2844
05/05/2009,31.0626
06/05/2009,30.0561
07/05/2009,31.2023
08/05/2009,29.0055
11/05/2009,29.8567
12/05/2009,29.0818
13/05/2009,30.5686
14/05/2009,28.8253
15/05/2009,29.5936
18/05/2009,27.5187
19/05/2009,26.2036
20/05/2009,26.5853
21/05/2009,28.897
22/05/2009,28.3608
26/05/2009,27.1985
27/05/2009,27.9614
28/05/2009,27.8575
29/05/2009,26.9243
01/06/2009,25.9234
02/06/2009,26.099
03/06/2009,28.2326
04/06/2009,27.189
05/06/2009,27.068
08/06/2009,26.9597
09/06/2009,25.9625
10/06/2009,26.6168
11/06/2009,25.2888
12/06/2009,25.0423
15/06/2009,27.0778
16/06/2009,27.8135
17/06/2009,27.8344
18/06/2009,26.7005
19/06/2009,25.5058
22/06/2009,27.7514
23/06/2009,27.5633
24/06/2009,26.732
25/06/2009,24.7841
26/06/2009,24.1406
29/06/2009,23.1325
30/06/2009,24.0475
01/07/2009,23.8792
02/07/2009,25.6319
06/07/2009,26.6074
07/07/2009,27.1646
08/07/2009,28.8553
09/07/2009,27.2914
10/07/2009,27.329
13/07/2009,25.6492
14/07/2009,25.0699
15/07/2009,24.3267
16/07/2009,23.7222
17/07/2009,23.7454
20/07/2009,23.33
21/07/2009,23.381
22/07/2009,22.9316
23/07/2009,22.424
24/07/2009,22.2545
27/07/2009,22.837
